"Item","Plat","Status"
"Vaykor Marelok","24","Online"
"Mesa Prime Systems","24","Online"
"Cautious Shot","24","Online"
"Apex Predator","24","Offline"
"Trinity Prime Neuroptics","24","Online"
"Meso S5 Radiant","24","Offline"
"Axi H3 Radiant","24","Offline"
"Arcane Aegis","24","Online"
"Dera Vandal Set","24","Online"
"Scimitar Engines","24","Online"
"Meso Z2 Radiant","24","Online"
"Neo S10 Radiant","24","Offline"
"Ash Prime Systems","24","Online"
"Contamination Casing","24","Online"
"Synoid Simulor","24","Online"
"Volt Prime Systems","24","Online"
"Elytron Systems","24","Online"
"Meso S6 Radiant","24","Offline"
"Meso V4 Radiant","24","Offline"
"Axi T1 Radiant","24","Offline"
"Meso B2 Radiant","24","Offline"
"Neo Z5 Exceptional","24","Offline"
"Axi V5 Radiant","24","Offline"
"Axi A9 Radiant","24","Online"
"Tether","24","Online"
"Axi H2 Radiant","24","Offline"
"Particle Ram","24","Online"
"Silva & Aegis Prime Guard","24","Online"
"Aksomati Prime Receiver","24","Online"
"Form Up","24","Online"
"Axi G3 Radiant","24","Offline"
"Lith G2 Intact","24","Online"
"Neo V8 Intact","24","Online"
"Axi A4 Radiant","24","Offline"
"Lith M1 Radiant","24","Offline"
"Meso F1 Intact","24","Online"
"Predator (Lavan)","24","Online"
"Quellor Blueprint","24","Online"
"Meso C4 Radiant","24","Offline"
"Rubico Prime Set","24","Online"
"Meso D2 Radiant","23","Offline"
"Acid Shells","23","Online"
"Dead Eye","23","Online"
"Meso T3 Radiant","23","Offline"
"Spring-Loaded Broadhead","23","Online"
"Arcane Barrier","23","Online"
"Cyclone Kraken","23","Online"
"Ivara Prime Blueprint","23","Online"
"Meso S9 Radiant","23","Offline"
"Orb Vallis Scene","23","Offline"
"Axi N3 Intact","23","Online"
"Arcane Guardian","23","Online"
"Meso B3 Radiant","22","Offline"
"Hypothermic Shell","22","Online"
"Ember Prime Systems","22","Online"
"Inertia Dampeners","22","Online"
"Sprint Boost","21","Online"
"Meso S3 Intact","21","Online"
"Meso O3 Intact","21","Online"
"Axi V4 Intact","21","Online"
"Axi L4 Flawless","20","Buying"
"Cernos Prime Lower Limb","20","Online"
"Armored Acrobatics","20","Buying"
"Anti-Flak Plating","20","Buying"
"Axi L4 Exceptional","20","Buying"
